time,title,author,page
2017-12-11,阿修羅のごとく (文春文庫),向田 邦子,413
2017-12-11,九月が永遠に続けば (新潮文庫),沼田 まほかる,495
2017-12-11,百瀬、こっちを向いて。 (祥伝社文庫),中田 永一,280
2017-12-11,魔王 (講談社文庫),伊坂 幸太郎,384
2017-11-04,陰日向に咲く (幻冬舎文庫),劇団ひとり,221
2017-10-28,花の降る午後 (角川文庫),宮本 輝,476
2017-10-15,キラー通りの恋 (ノン・ポシェット),水上 洋子,266
2017-10-06,探偵ガリレオ (文春文庫),東野 圭吾,330
2017-09-29,きもの (新潮文庫),幸田 文,368
2017-09-15,卒業 (講談社文庫),東野 圭吾,371
2017-09-08,FINE DAYS (祥伝社文庫),本多 孝好,334
2017-09-04,片想い (文春文庫),東野 圭吾,624
2017-08-30,世界から猫が消えたなら (小学館文庫),川村 元気,229
2017-08-29,君の膵臓をたべたい (双葉文庫),住野 よる,328
2017-08-29,教場 (小学館文庫),長岡 弘樹,324
2017-08-26,書店ガール (PHP文芸文庫),碧野 圭,397
2017-08-23,新しい靴を買わなくちゃ (幻冬舎文庫),北川 悦吏子,214
2017-08-22,六番目の小夜子 (新潮文庫),恩田 陸,339
2017-08-21,硝子のハンマー (角川文庫),貴志 祐介,604
2017-08-18,その日のまえに (文春文庫),重松 清,365
2017-08-10,ディズニー サービスの神様が教えてくれたこと,鎌田 洋,216
2017-08-04,砂の女 (新潮文庫),安部 公房,276
2017-08-04,風の中のマリア (講談社文庫),百田 尚樹,320
2017-08-03,夜明けの街で (角川文庫),東野 圭吾,391
2017-08-03,失はれる物語 (角川文庫),乙一,381
2017-07-04,疾風ロンド (実業之日本社文庫),東野 圭吾,400
2017-07-04,間宮兄弟 (小学館文庫),江國 香織,320
2017-06-16,今夜、すベてのバーで (講談社文庫),中島 らも,312
2017-06-15,神様のカルテ (小学館文庫),夏川 草介,256
2017-06-15,スタバ株は1月に買え!: 10万円で始めるイ…,夕凪,221
2017-06-10,不夜城 (角川文庫 は 21-1),馳 星周,533
2017-05-17,絹の家 シャーロック・ホームズ,アンソニー・ホロヴィッツ,349
2017-05-17,卒業 (新潮文庫),重松 清,404
2017-05-05,24人のビリー・ミリガン〈下〉 (ダニエル・…,ダニエル キイス,502
2017-05-05,24人のビリー・ミリガン〈上〉 (ダニエル・…,ダニエル キイス,479
2017-04-14,白夜行 (集英社文庫),東野 圭吾,864
2017-04-14,GOTH 僕の章 (角川文庫),乙一,253
2017-04-14,GOTH 夜の章 (角川文庫),乙一,190
2017-03-29,月の恋人: ―Moon Lovers (新潮…,道尾 秀介,430
